dataset	base_id	risk	reason	closest_train	max_tm	conservative_clean	strict_clean
RNA-benchmark	7UCR	high	TM=0.9512>=0.9	7jjd_A	0.9512	drop	drop
RNA-benchmark	7UGA	high	TM=1.0000>=0.9; full-length BLAST exact match	7uga_A	1.0000	drop	drop
RNA-benchmark	8VPV	high	TM=0.9386>=0.9	4rzd_A	0.9386	drop	drop
RNA-benchmark	7SHX	low	TM=0.3061>=0.3	5m73_A	0.3061	keep	keep
RNA-benchmark	7UMC	low	TM=0.4188>=0.3	1x8w_C	0.4188	keep	keep
RNA-benchmark	7UMD	low	TM=0.3546>=0.3	3j6x_5S	0.3546	keep	keep
RNA-benchmark	7V06	low	TM=0.4690>=0.3	6wlt_A	0.4690	keep	keep
RNA-benchmark	7WIA	low	TM=0.4901>=0.3	3slm_B	0.4901	keep	keep
RNA-benchmark	8BTZ	low	TM=0.3068>=0.3	7sam_A	0.3068	keep	keep
RNA-benchmark	8BWT	low	TM=0.3311>=0.3	1mji_D	0.3311	keep	keep
RNA-benchmark	8CLR	low	TM=0.4405>=0.3	5uyp_W	0.4405	keep	keep
RNA-benchmark	8CQ1	low	TM=0.4767>=0.3	3j45_5	0.4767	keep	keep
RNA-benchmark	8ITS	low	TM=0.3624>=0.3	6cc3_A	0.3624	keep	keep
RNA-benchmark	8JHP	low	TM=0.3061>=0.3	5mq0_5	0.3061	keep	keep
RNA-benchmark	8QO3	low	TM=0.4036>=0.3	7eld_B	0.4036	keep	keep
RNA-benchmark	8QO4	low	TM=0.3871>=0.3	7qwq_1	0.3871	keep	keep
RNA-benchmark	8SCH	low	TM=0.3911>=0.3	3bo3_B	0.3911	keep	keep
RNA-benchmark	8TJU	low	TM=0.3319>=0.3	1x8w_B	0.3319	keep	keep
RNA-benchmark	8UYE	low	TM=0.3630>=0.3	2qbz_X	0.3630	keep	keep
RNA-benchmark	8UYS	low	TM=0.3682>=0.3	7mlw_F	0.3682	keep	keep
RNA-benchmark	8V1H	low	TM=0.4971>=0.3	3adb_C	0.4971	keep	keep
RNA-benchmark	8VCI	low	TM=0.3583>=0.3	4c4q_N	0.3583	keep	keep
RNA-benchmark	8XZL	low	TM=0.4439>=0.3	3slm_A	0.4439	keep	keep
RNA-benchmark	9BUN	low	TM=0.4439>=0.3	3eph_F	0.4439	keep	keep
RNA-benchmark	9EOW	low	TM=0.3081>=0.3	5uzz_A	0.3081	keep	keep
RNA-benchmark	7UME	medium	TM=0.5129>=0.5	3w3s_B	0.5129	keep	drop
RNA-benchmark	8FCS	medium	TM=0.6289>=0.5	7da7_C	0.6289	keep	drop
RNA-benchmark	8SP9	medium	TM=0.5400>=0.5	6jxm_B	0.5400	keep	drop
RNA-benchmark	8UPT	medium	TM=0.7443>=0.5	6xzb_g2	0.7443	keep	drop
