MSA长度不匹配报告
============================================================

总计不匹配文件数: 272

详细信息:
------------------------------------------------------------
文件名                  序列长度       MSA长度      差异        
------------------------------------------------------------
1am0_A               16         40         24        
1aq3_R               16         19         3         
1aq4_R               16         19         3         
1d4r_B               29         28         1         
1d4r_C               29         28         1         
1h3e_B               84         83         1         
1jgo_1               27         6          21        
1jgp_1               32         6          26        
1jgq_1               36         3          33        
1r9f_B               20         19         1         
1r9f_C               20         19         1         
1urn_P               20         17         3         
1urn_R               20         18         2         
1ysh_F               34         33         1         
2dlc_Y               74         69         5         
2f8k_B               16         15         1         
2hvy_E               61         57         4         
2nqp_F               71         68         3         
2nr0_H               65         63         2         
2qkb_C               20         19         1         
2xli_B               16         15         1         
2xlj_B               16         15         1         
2xlk_C               16         15         1         
2xlk_D               16         15         1         
2xnw_A               65         64         1         
2xo1_A               65         64         1         
2y9h_B               19         18         1         
2y9h_D               19         18         1         
2y9h_F               19         18         1         
2y9h_H               19         18         1         
2y9h_J               19         18         1         
2y9h_L               19         18         1         
2ygh_A               95         94         1         
2z75_B               123        122        1         
2zi0_C               20         19         1         
2zi0_D               20         19         1         
2zue_B               76         75         1         
2zuf_B               76         75         1         
357d_C               31         30         1         
364d_C               31         30         1         
3boy_D               22         21         1         
3dd2_B               26         25         1         
3f4e_X               54         53         1         
3f4g_X               54         53         1         
3f4h_X               54         53         1         
3f73_C               16         14         2         
3fu2_A               32         31         1         
3fu2_B               33         32         1         
3fu2_C               32         31         1         
3hax_E               60         58         2         
3hay_E               69         68         1         
3hjf_X               17         16         1         
3hk2_C               17         16         1         
3hk2_E               17         16         1         
3id5_D               34         33         1         
3id5_H               34         33         1         
3izd_A               151        138        13        
3jcm_D               45         44         1         
3k1v_A               30         29         1         
3ol6_B               18         17         1         
3ol6_F               18         17         1         
3ol6_J               19         18         1         
3ol6_N               19         18         1         
3ol7_B               18         17         1         
3ol7_F               18         17         1         
3ol8_B               17         16         1         
3ol8_F               17         16         1         
3ol8_J               17         16         1         
3ol8_N               17         16         1         
3ol9_B               18         17         1         
3ol9_F               18         17         1         
3ol9_J               19         18         1         
3ol9_N               19         18         1         
3olb_B               18         17         1         
3olb_F               18         17         1         
3olb_J               19         18         1         
3olb_N               19         18         1         
3ovb_C               35         34         1         
3q1q_C               86         83         3         
3q1r_C               86         83         3         
3slq_B               68         65         3         
3snp_C               30         29         1         
3snp_D               30         29         1         
3wfr_A               74         73         1         
3wfr_B               74         73         1         
3wfr_C               75         74         1         
3wfr_D               75         74         1         
3zgz_B               82         79         3         
3zgz_E               80         78         2         
3zjt_B               83         82         1         
4al5_B               18         16         2         
4al6_B               16         15         1         
4aq7_B               79         78         1         
4aq7_E               77         76         1         
4gxy_A               163        162        1         
4j1g_E               45         44         1         
4jnx_B               20         19         1         
4jnx_G               20         19         1         
4k50_B               33         32         1         
4k50_J               33         32         1         
4k50_N               32         31         1         
4l8r_D               19         18         1         
4meg_A               18         16         2         
4meh_A               22         20         2         
4meh_B               122        120        2         
4nyb_A               80         79         1         
4nyc_A               80         79         1         
4nyd_A               80         79         1         
4nyg_A               79         77         2         
4oo8_C               21         20         1         
4oo8_F               23         22         1         
4rum_A               93         92         1         
4rwp_B               19         18         1         
4ts0_Y               47         46         1         
